,bucks,period,oil,bc_min,bc_max
0,61.782,2020-01-01,56.62,6974,9437
1,63.884,2020-02-01,49.67,8683,10374
2,73.318,2020-03-01,26.35,5241,9107
3,75.232,2020-04-01,25.27,6316,8851
4,72.619,2020-05-01,37.62,8628,9901
5,69.224,2020-06-01,41.15,9012,10106
6,71.285,2020-07-01,43.3,9077,11131
7,73.8,2020-08-01,45.28,11111,12259
8,75.661,2020-09-01,40.95,10124,11924
9,77.592,2020-10-01,37.46,10544,13823
10,77.046,2020-11-01,47.59,13469,18900
11,74.056,2020-12-01,51.8,17911,28707
12,74.229,2021-01-01,54.96,29271,41145
13,74.384,2021-02-01,65.45,33629,56970
14,74.415,2021-03-01,63.54,46590,61010
15,76.098,2021-04-01,67.25,49859,63539
16,74.044,2021-05-01,69.32,33943,59128
17,72.511,2021-06-01,75.13,31984,40067
18,73.919,2021-07-01,75.41,29766,41963
19,73.594,2021-08-01,72.99,38373,49796
20,72.891,2021-09-01,78.52,41733,52608
21,71.498,2021-10-01,83.49,43766,62781
22,72.602,2021-11-01,70.57,54395,67727
23,73.717,2021-12-01,77.78,45899,57314
